movie_title,imdb_score,year,gross,budget,profit_markup_pr,continent,genre,mycolor
Dick Tracy ,6.1,1990,103738726,100000000.00,4,Central America,Action,profit
Dick Tracy ,6.1,1990,103738726,100000000.00,4,Central America,Comedy,profit
Dick Tracy ,6.1,1990,103738726,100000000.00,4,Central America,Crime,profit
Dick Tracy ,6.1,1990,103738726,100000000.00,4,Central America,Music,profit
Dick Tracy ,6.1,1990,103738726,100000000.00,4,Central America,Romance,profit
Dick Tracy ,6.1,1990,103738726,100000000.00,4,Central America,Thriller,profit
The Thomas Crown Affair ,6.8,1999,69304264,48000000.00,44,Central America,Crime,profit
The Thomas Crown Affair ,6.8,1999,69304264,48000000.00,44,Central America,Romance,profit
The Thomas Crown Affair ,6.8,1999,69304264,48000000.00,44,Central America,Thriller,profit
Riding in Cars with Boys ,6.4,2001,29781453,48000000.00,-38,Central America,Biography,loss
Riding in Cars with Boys ,6.4,2001,29781453,48000000.00,-38,Central America,Comedy,loss
Riding in Cars with Boys ,6.4,2001,29781453,48000000.00,-38,Central America,Drama,loss
Happily N'Ever After ,4.5,2006,15519841,47000000.00,-67,Central America,Adventure,loss
Happily N'Ever After ,4.5,2006,15519841,47000000.00,-67,Central America,Animation,loss
Happily N'Ever After ,4.5,2006,15519841,47000000.00,-67,Central America,Comedy,loss
Happily N'Ever After ,4.5,2006,15519841,47000000.00,-67,Central America,Family,loss
Happily N'Ever After ,4.5,2006,15519841,47000000.00,-67,Central America,Fantasy,loss
Mary Reilly ,5.8,1996,5600000,47000000.00,-88,Central America,Drama,loss
Mary Reilly ,5.8,1996,5600000,47000000.00,-88,Central America,Horror,loss
Mary Reilly ,5.8,1996,5600000,47000000.00,-88,Central America,Romance,loss
Mary Reilly ,5.8,1996,5600000,47000000.00,-88,Central America,Thriller,loss
My Best Friend's Wedding ,6.3,1997,126805112,46000000.00,176,Central America,Comedy,profit
My Best Friend's Wedding ,6.3,1997,126805112,46000000.00,176,Central America,Romance,profit
America's Sweethearts ,5.7,2001,93607673,48000000.00,95,Central America,Comedy,profit
America's Sweethearts ,5.7,2001,93607673,48000000.00,95,Central America,Romance,profit
Insomnia ,7.2,2002,67263182,46000000.00,46,Central America,Drama,profit
Insomnia ,7.2,2002,67263182,46000000.00,46,Central America,Mystery,profit
Insomnia ,7.2,2002,67263182,46000000.00,46,Central America,Thriller,profit
Star Trek: First Contact ,7.6,1996,92001027,45000000.00,104,Central America,Action,profit
Star Trek: First Contact ,7.6,1996,92001027,45000000.00,104,Central America,Adventure,profit
Star Trek: First Contact ,7.6,1996,92001027,45000000.00,104,Central America,Drama,profit
Star Trek: First Contact ,7.6,1996,92001027,45000000.00,104,Central America,Sci-Fi,profit
Star Trek: First Contact ,7.6,1996,92001027,45000000.00,104,Central America,Thriller,profit
Jonah Hex ,4.7,2010,10539414,47000000.00,-78,Central America,Action,loss
Jonah Hex ,4.7,2010,10539414,47000000.00,-78,Central America,Drama,loss
Jonah Hex ,4.7,2010,10539414,47000000.00,-78,Central America,Fantasy,loss
Jonah Hex ,4.7,2010,10539414,47000000.00,-78,Central America,Thriller,loss
Jonah Hex ,4.7,2010,10539414,47000000.00,-78,Central America,Western,loss
Courage Under Fire ,6.6,1996,58918501,46000000.00,28,Central America,Action,profit
Courage Under Fire ,6.6,1996,58918501,46000000.00,28,Central America,Drama,profit
